Total missing description_fr: 695
  have description_en: 374
  no description_en: 321

=== NO description_en - need invented descriptions ===
Antelope-like Animal (Small) | Animal de type antilope (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv1 | sz=M | OB:20SHo80/00STs20
Elephants (African) (Female) | Éléphant africain (femelle) | Other Potentially Dangerous Animals | Lv7 | sz=H | OB:75HHo50/75HBa50/75HTs ✓
Elephants (Indian) (Male) | Éléphant indien (mâle) | Other Potentially Dangerous Animals | Lv7 | sz=H | OB:90HHo70/80HBa30/75HTs ✓
Elephants (Indian) (Female) | Éléphant indien (femelle) | Other Potentially Dangerous Animals | Lv7 | sz=H | OB:75HHo50/75HBa50/75HTs ✓
Primate (Lesser Primate) | Primate (primate inférieur) | Other Potentially Dangerous Animals | Lv2 | sz=S | OB:30SBi50/40SGr50/60SBi ✓
Kangaroo/Wallaby (Small) | Kangourou/Wallaby (petit) | Other Potentially Dangerous Animals | Lv2 | sz=S | OB:40SCl100/40SBa !
Gemsting | Scorpion-joyau | Giant Arthropods, Great Serpents, and Water Beasts | Lv4 | sz=M | OB:60LPi(2x)/80LSt/poison !
Jadeback | Dosjade | Giant Arthropods, Great Serpents, and Water Beasts | Lv2 | sz=M | OB:70MPi/poison !
Capricon | Capricon | Giant Arthropods, Great Serpents, and Water Beasts | Lv10 | sz=M | OB:100MHo/80MBa/60MTs*/90We*/Spells
Rath | Rath | Giant Arthropods, Great Serpents, and Water Beasts | Lv4 | sz=L | OB:50LBa/60LBi
Cold Drake (land, 15%**) (Young) | Drake de froid (terre, 15%**) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:80HBi/100HCl/90HBa/60HHo/50CBr/60IBr*
Cold Drake (land, 15%**) (Mature) | Drake de froid (terre, 15%**) (mature) | Dragons and Other Fell Creatures | Lv30 | sz=H | OB:120HBi/120HCl/120HBa/80HHo/60CBr/80IBr*
Cold Drake (land, 15%**) (Old) | Drake de froid (terre, 15%**) (ancien) | Dragons and Other Fell Creatures | Lv50 | sz=H | OB:150HBi/130HCl/150HBa/90HHo/75CBr/100IBr*
Light Drake (air, 80%**) (Young) | Drake de lumière (air, 80%**) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:60HBi/80HCl/60HBa/90HHo/100LBr*
Light Drake (air, 80%**) (Mature) | Drake de lumière (air, 80%**) (mature) | Dragons and Other Fell Creatures | Lv34 | sz=H | OB:80HBi/100HCl/70HBa/100HHo/120LBr*
Light Drake (air, 80%**) (Old) | Drake de lumière (air, 80%**) (ancien) | Dragons and Other Fell Creatures | Lv60 | sz=H | OB:90HBi/110HCl/80HBa/110HHo/140LBr*
Fire Drake (air, 60%**) (Young) | Drake de feu (air, 60%**) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:70HBi/120HCl/80HBa/50HHo/80FBr*
Fire Drake (air, 60%**) (Mature) | Drake de feu (air, 60%**) (mature) | Dragons and Other Fell Creatures | Lv38 | sz=H | OB:100HBi/140HCl/110HBa/70HHo/100FBr*
Fire Drake (air, 60%**) (Old) | Drake de feu (air, 60%**) (ancien) | Dragons and Other Fell Creatures | Lv66 | sz=H | OB:125HBi/150HCl/130HBa/90HHo/120FBr*
Gas Drake (land, 20%**) (Young) | Drake de gaz (terre, 20%**) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:80HBi/80HCl/80HBa/70HHo/GBr*
Gas Drake (land, 20%**) (Mature) | Drake de gaz (terre, 20%**) (mature) | Dragons and Other Fell Creatures | Lv20 | sz=H | OB:100HBi/100HCl/100HBa/80HHo/GBr*
Gas Drake (land, 20%**) (Old) | Drake de gaz (terre, 20%**) (ancien) | Dragons and Other Fell Creatures | Lv30 | sz=H | OB:120HBi/120HCl/120HBa/90HHo/GBr*
Sea Drake (water, 2%**) (Young) | Drake marin (eau, 2%**) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:100HBi/60HCl/120HBa/40HHo/90WBr*
Sea Drake (water, 2%**) (Mature) | Drake marin (eau, 2%**) (mature) | Dragons and Other Fell Creatures | Lv25 | sz=H | OB:110HBi/80HCl/150HBa/60HHo/120WBr*
Sea Drake (water, 2%**) (Old) | Drake marin (eau, 2%**) (ancien) | Dragons and Other Fell Creatures | Lv40 | sz=H | OB:130HBi/90HCl/180HBa/80HHo/150WBr*
Air Drake (air, 100%**) (Young) | Drake d'air (air, 100%**) (jeune) | Dragons and Other Fell Creatures | Lv6 | sz=H | OB:50LBi/90HCl/50LBa/70LHo
Air Drake (air, 100%**) (Mature) | Drake d'air (air, 100%**) (mature) | Dragons and Other Fell Creatures | Lv15 | sz=H | OB:60HBi/110HCl/60HBa/70HHo
Air Drake (air, 100%**) (Old) | Drake d'air (air, 100%**) (ancien) | Dragons and Other Fell Creatures | Lv25 | sz=H | OB:80HBi/120HCl/70HBa/80HHo
Land Drake (land, 0%**) (Young) | Drake terrestre (terre, 0%**) (jeune) | Dragons and Other Fell Creatures | Lv6 | sz=H | OB:80LBi[Heat]*/90LCl/90HBa/60LHo
Land Drake (land, 0%**) (Mature) | Drake terrestre (terre, 0%**) (mature) | Dragons and Other Fell Creatures | Lv18 | sz=H | OB:100HBi[Heat]*/100HCl/100HBa/70HHo
Land Drake (land, 0%**) (Old) | Drake terrestre (terre, 0%**) (ancien) | Dragons and Other Fell Creatures | Lv30 | sz=H | OB:110HBi[Heat]*/110HCl/120HBa/90HHo
Cave Drake (land, 0%**) (Young) | Drake des cavernes (terre, 0%**) (jeune) | Dragons and Other Fell Creatures | Lv6 | sz=H | OB:80LBi/50LCl/50LBa/70LHo
Cave Drake (land, 0%**) (Mature) | Drake des cavernes (terre, 0%**) (mature) | Dragons and Other Fell Creatures | Lv13 | sz=H | OB:90HBi/50HCl/50HBa/80HHo
Cave Drake (land, 0%**) (Old) | Drake des cavernes (terre, 0%**) (ancien) | Dragons and Other Fell Creatures | Lv20 | sz=H | OB:100HBi/60HCl/50HBa/90HHo
Water Drake (water, 0%**) (Young) | Drake d'eau (eau, 0%**) (jeune) | Dragons and Other Fell Creatures | Lv6 | sz=H | OB:100LBi/50LCl/90HBa/50LHo
Water Drake (water, 0%**) (Mature) | Drake d'eau (eau, 0%**) (mature) | Dragons and Other Fell Creatures | Lv15 | sz=H | OB:110HBi/50HCl/100HBa/50HHo
Water Drake (water, 0%**) (Old) | Drake d'eau (eau, 0%**) (ancien) | Dragons and Other Fell Creatures | Lv25 | sz=H | OB:120HBi/50HCl/110HBa/60HHo
Wyverns (Minor Drakes) (Winged (fly)) | Wyverns (mineur Drakes) (ailé (vol)) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:50LCl(2x)/90HSt/poison !
Wyverns (Minor Drakes) (Water (swim)) | Wyverns (mineur Drakes) (eau (nage)) | Dragons and Other Fell Creatures | Lv6 | sz=H | OB:90LBa/60LCl/100HHo/poison !
Basilisk (fly) | Basilic (vol) | Dragons and Other Fell Creatures | Lv6 | sz=L | OB:60LPi/50LCl/Spells/Special
Cockatrice (fly) | Cocatris (vol) | Dragons and Other Fell Creatures | Lv5 | sz=M | OB:/50SCl20 50MPi80/Special !
Fell Beast (fly) | Bête déchue (vol) | Dragons and Other Fell Creatures | Lv12 | sz=H | OB:80HCl/60LBa/90LBi
Oriental Dragon (land***) (Young) | Dragon oriental (terre***) (jeune) | Dragons and Other Fell Creatures | Lv10 | sz=H | OB:80LBi/60LCl/70HBa/100SBr/Spells
Oriental Dragon (land***) (Mature) | Dragon oriental (terre***) (mature) | Dragons and Other Fell Creatures | Lv30 | sz=H | OB:100HBi/80HCl/90HBa/125SBr/Spells
Oriental Dragon (land***) (Old) | Dragon oriental (terre***) (ancien) | Dragons and Other Fell Creatures | Lv50 | sz=H | OB:120HBi/90HCl/100HBa/150SBr/Spells
Oriental Dragon (land***) (Sea Serpent (swim)) | Oriental Dragon (terre***) (serpent de mer (nage)) | Dragons and Other Fell Creatures | Lv15 | sz=H | OB:90HGr/150HCr /80HBi/90StBr* !
Al-mi'raj | Al-mi'raj | Composite Monsters | Lv5 | sz=M | OB:70MHo/Spells
Cerebus | Cerbère | Composite Monsters | Lv6 | sz=L | OB:80LBi(3x)/60MSt(6x)/poison !
Chameleon Amoeba | Amibe caméléon | Composite Monsters | Lv8 | sz=M | OB:/100HGr 60MGr/80LGr ! ✓/Special ✓
3-tailed Bavolorus | Bavolorus à trois queues | Composite Monsters | Lv4 | sz=L | OB:80LHo/60MHo&50MBa
Unicorn | Licorne | Composite Monsters | Lv10 | sz=L | OB:/110MTs 140LHo/70MBa ! !/Spells
Willofthe Wisp | Feu follet | Composite Monsters | Lv6 | sz=M | OB:Bodyactsasa50CBaIl
Air, Weak | Élémentaire d'air, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:* ! 30LBa(3x)/50LGr/[ImpactB]
Air, Strong | Élémentaire d'air, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 40LBa(3x)/70LGr/[ImpactD]
Cold, Weak | Élémentaire de froid, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:30MBa(2x)/60MGr/[ColdB] * !
Cold, Strong | Élémentaire de froid, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 40MBa(2x)/80MGr/[ColdD]
Earth, Weak | Élémentaire de terre, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:90LBa/40LGr/[ImpactB] * !
Earth, Strong | Élémentaire de terre, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 120HBa/60HGr/[ImpactD]
Fire, Weak | Élémentaire de feu, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:40MBa(2x)/70MGr/[HeatB] * !
Fire, Strong | Élémentaire de feu, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 50MBa(2x)/90MGr/[HeatD]
Light, Weak | Élémentaire de lumière, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:20SBa(4x)/60MGr/[Elect.B] * !
Light, Strong | Élémentaire de lumière, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 30MBa(4x)/80MGr/[Elect.D]
Water, Weak | Élémentaire d'eau, faible | Elementals and Artificial Beings | Lv10 | sz=M | OB:60LBa/60LGr/[ImpactB] * !
Water, Strong | Élémentaire d'eau, puissant | Elementals and Artificial Beings | Lv20 | sz=L | OB:* ! 100HBa/75HGr/[ImpactC]
Brass | Laiton | Elementals and Artificial Beings | Lv10 | sz=M | OB:150MBa/50MGr/150LCr * !
Mithril | Mithril | Elementals and Artificial Beings | Lv25 | sz=M | OB:* ✓ 200HBa/90LGr/200HCr
Demonsofthe Pale (Pale I) | Démons du Pâle (Pale I) | Entities from Other Planes | Lv1 | sz=M | OB:40MCl(2x)/30MBa/60MCr ✓/50cl(2D)
Demonsofthe Pale (Pale II) | Démons du Pâle (Pale II) | Entities from Other Planes | Lv4 | sz=M | OB:/70bs(2D) 50MCl(2x)/40LBa/80LCr ✓
Demonsofthe Pale (Pale III (fly)) | Demonsofthe Pâle (Pâle III (vol)) | Entities from Other Planes | Lv8 | sz=L | OB:/90th 60MCl(2x)/70LBa/105LCr ✓
Demonsofthe Pale (Pale IV) | Démons du Pâle (Pale IV) | Entities from Other Planes | Lv13 | sz=L | OB:60wp(2D)/70LBa/130LCr ✓/Spells/90We
Demonsofthe Pale (Pale V) | Démons du Pâle (Pale V) | Entities from Other Planes | Lv18 | sz=L | OB:150HBa/200HCr /Spells/140We(2D) ✓
Demonsofthe Pale (Pale VI) | Démons du Pâle (Pale VI) | Entities from Other Planes | Lv27 | sz=M | OB:/150LCr 180LCl(2x)/130LBa/100MBi !
Beyondthe Pale | Au-delà du Pâle | Entities from Other Planes | Lv50 | sz=L | OB:200HBa/250HCr ✓/240We(2D)and/or180We
Daedhel (I) | Daedhel (I) | Entities from Other Planes | Lv2 | sz=M | OB:50We/Spells
Culraug (II) | Culraug (II) | Entities from Other Planes | Lv4 | sz=M | OB:70We/Spells
Hodhedhel (III) | Hodhedhel (III) | Entities from Other Planes | Lv7 | sz=M | OB:130We/120We
Thauredhel (IV) | Thauredhel (IV) | Entities from Other Planes | Lv12 | sz=M | OB:140We/Spells
Celebdel (V) | Celebdel (V) | Entities from Other Planes | Lv20 | sz=M | OB:175We/Spells/SpeciaI
Hothrog (I) | Hothrog (I) | Entities from Other Planes | Lv2 | sz=M | OB:50MCl(2x)/50MBa/100MBi ✓
Daerauk (II) | Daerauk (II) | Entities from Other Planes | Lv4 | sz=M | OB:60We/Spells
Gogonaur (III) | Gogonaur (III) | Entities from Other Planes | Lv6 | sz=L | OB:100We[Heat]/60LBa/Spells
Narauk (IV) | Narauk (IV) | Entities from Other Planes | Lv11 | sz=L | OB:110LCl(2x)[Heat]/30FBr/Special
Noble Gogonaur (V) | Gogonaur noble (V) | Entities from Other Planes | Lv17 | sz=L | OB:160We(3D)[Heat]/Spells/Special
Ordainer Raukamar (VI) | Ordonnateur Raukamar (VI) | Entities from Other Planes | Lv30 | sz=L | OB:200We(3D)[Heat]/Spells/Special
Moloch (VI+) Ordainer | Moloch (VI+) Ordainer | Entities from Other Planes | Lv35 | sz=H | OB:250We(2x)(3D)[Heat]/Spells/Special
Jann (I) | Jann (I) | Entities from Other Planes | Lv2 | sz=M | OB:70Msw(rank2)/Special
Jinn (II) | Djinn (II) | Entities from Other Planes | Lv5 | sz=M | OB:90Msw(Rank3)/Special
Shaitan (III) | Shaitan (III) | Entities from Other Planes | Lv10 | sz=M | OB:110Msw(Rank4)/Special
Ifrit (IV) | Ifrit (IV) | Entities from Other Planes | Lv15 | sz=M | OB:130Msw&Mst(Rank4)/Spells/Special
Marid (V) | Marid (V) | Entities from Other Planes | Lv20 | sz=M | OB:150Msw&Mst(Rank4)/Spells/Special
Black Stalker (VI) | Traqueur noir (VI) | Entities from Other Planes | Lv15 | sz=M | OB:180bs(Slayingfortarget)/Special
Demon Dog (II) | Chien démoniaque (II) | Entities from Other Planes | Lv4 | sz=M | OB:50MBi/60MBa/90LBi /60FBr* ✓
Demon Horse (III) | Cheval démoniaque (III) | Entities from Other Planes | Lv7 | sz=L | OB:/90MBi50* 100MCr50/90MTs ✓
Neng (IV) | Neng (IV) | Entities from Other Planes | Lv8 | sz=M | OB:110We/Special/40AcidBolt*
Succubus/Incubus (IV) | Succube/Incube (IV) | Entities from Other Planes | Lv12 | sz=M | OB:100We/Spells/Special
Standard Created Undead (Class I) | Mort-vivant créé standard (Classe I) | The Undead | Lv1 | sz=M | OB:25SBa90/15We10
Standard Created Undead (Class II) | Mort-vivant créé standard (Classe II) | The Undead | Lv3 | sz=M | OB:40MBa60/45We40
Standard Created Undead (Class III) | Mort-vivant créé standard (Classe III) | The Undead | Lv6 | sz=M | OB:60MBa50/50We50
Standard Created Undead (Class IV) | Mort-vivant créé standard (Classe IV) | The Undead | Lv9 | sz=M | OB:70LBa40/95We60
Standard Created Undead (Class V) | Mort-vivant créé standard (Classe V) | The Undead | Lv13 | sz=M | OB:90LBa30/110We70
Standard Created Undead (Class VI) | Mort-vivant créé standard (Classe VI) | The Undead | Lv16 | sz=M | OB:90LBa20/180We80
Apparition (III) | Apparition (III) | The Undead | Lv6 | sz=M | OB:50MBa[Elect]/Spells
Barrow-Wight (V) | Wight de tertre (V) | The Undead | Lv15 | sz=M | OB:110We[Cold]/90LBa(Cold)/Spells
Corpse Candle (III) | Bougie de cadavre (III) | The Undead | Lv7 | sz=M | OB:Spells/Special(4Conpt/rnd)
Corpse Lantern (IV) | Lanterne de cadavre (IV) | The Undead | Lv10 | sz=M | OB:Spells/Special(5Conpt/rnd)
Standard Created Undead (Fire Phantom (III)) | Standard Created Undead (feu Phantom (III)) | The Undead | Lv5 | sz=M | OB:50FBall(itsbody)/Special
Ghost (Minor (II)) | Ghost (mineur (II)) | The Undead | Lv3 | sz=M | OB:40MCl/Special(3Conpt/rnd)
Ghost (Lesser (III)) | Ghost (inférieur (III)) | The Undead | Lv7 | sz=M | OB:60MBa/50We/Special(4Conpt/rnd)
Ghost (Greater (V)) | Ghost (supérieur (V)) | The Undead | Lv15 | sz=M | OB:110We/90LBa/Special(5Conpt/rnd)
Ghost Wolf (IV) | Loup fantôme (IV) | The Undead | Lv10 | sz=L | OB:100LBi50/75MCl50/Special
Ghoul (Lesser (I)) | Ghoul (inférieur (I)) | The Undead | Lv1 | sz=M | OB:/10SBi 25SBa100/30SCl ! !
Ghoul (Greater (II)) | Ghoul (supérieur (II)) | The Undead | Lv3 | sz=M | OB:40MBa/50SCl /45We/Special !
Headless Ghost (III) | Fantôme sans tête (III) | The Undead | Lv6 | sz=M | OB:60We/50MBa/Special(3Conpt/rnd)
Ice Skeleton (II) | Squelette de glace (II) | The Undead | Lv3 | sz=M | OB:45MBa100[Cold]/Special
Lich (VI) | Liche (VI) | The Undead | Lv20 | sz=M | OB:70We[Cold]/Spells/Special
Mara (II) | Mara (II) | The Undead | Lv2 | sz=M | OB:Spells/Special(2Conpt/rnd)
Mummy (Lesser (III)) | Mummy (inférieur (III)) | The Undead | Lv6 | sz=M | OB:70LBa100/120LGr ✓
Mummy (Greater (IV)) | Mummy (supérieur (IV)) | The Undead | Lv10 | sz=M | OB:/Spells 110LBa/150LGr ✓
Phantom (I) | Fantôme (I) | The Undead | Lv2 | sz=M | OB:30SBolt/Special(1Conpt/rnd)
Revenant (II) | Revenant (II) | The Undead | Lv3 | sz=M | OB:40We[Cold]/Spells/Special
Shadow (Lesser (II)) | Shadow (inférieur (II)) | The Undead | Lv4 | sz=M | OB:/Special Special/75MBi ! ✓
Shadow (Greater (IV)) | Shadow (supérieur (IV)) | The Undead | Lv8 | sz=M | OB:Special/110MBi /Special ! ✓
Skeleton (Minor (I)) | Skeleton (mineur (I)) | The Undead | Lv1 | sz=M | OB:25We50/40MBa50
Skeleton (Lesser (II)) | Skeleton (inférieur (II)) | The Undead | Lv3 | sz=M | OB:40We50/50MBa50/Special
Skeleton (Greater (IIl)) | Skeleton (supérieur (IIl)) | The Undead | Lv5 | sz=M | OB:50We50/60MBa50/Special
Joker (III) | Bouffon (III) | The Undead | Lv5 | sz=M | OB:Spells/Special
Lord (IV) | Seigneur (IV) | The Undead | Lv8 | sz=M | OB:95We50/70LBa50[Cold]/Spells/Special
Sovereign (IV) | Souverain (IV) | The Undead | Lv10 | sz=M | OB:90We[Cold]/Spells/Special
Red (VI) | Rouge (VI) | The Undead | Lv20 | sz=M | OB:300Joke35/350Pun35/250Pie30
Specter (Minor (II)) | Specter (mineur (II)) | The Undead | Lv5 | sz=L | OB:40SBolt100
Specter (Lesser (III)) | Specter (inférieur (III)) | The Undead | Lv10 | sz=L | OB:50LBolt100
Specter (Major (V)) | Specter (majeur (V)) | The Undead | Lv15 | sz=L | OB:70MBa[Cold]/Spells/Special
Swamp Star (IV) | Étoile des marais (IV) | The Undead | Lv9 | sz=S | OB:Spell/Special(6Conpt/rnd)
Vampire (Minor (IV)) | Vampire (mineur (IV)) | The Undead | Lv10 | sz=M | OB:/Spells 90We[Cold]/70MBi/Special ✓
Vampire (Lesser (V)) | Vampire (inférieur (V)) | The Undead | Lv15 | sz=M | OB:110We[Cold]/90MBi/Special /Spells ✓
Vampire (Greater (VI)) | Vampire (supérieur (VI)) | The Undead | Lv20 | sz=M | OB:/Spells 150We[Cold]/120MBi/Special ✓
Bunny (III) | Bunny (III) | The Undead | Lv5 | sz=S | OB:80TBa/80SBi /Special§ !
Wight (Minor (IV)) | Wight (mineur (IV)) | The Undead | Lv10 | sz=L | OB:90We[Cold]/80LBa/Special/Spells
Wight (Lesser (V)) | Wight (inférieur (V)) | The Undead | Lv15 | sz=L | OB:110We[Cold]/80LBa/Special/Spells
Wight (Major (VI)) | Wight (majeur (VI)) | The Undead | Lv20 | sz=L | OB:150We[Cold]/80LBa/Special/Spells
Wraith (Lesser (IV)) | Wraith (inférieur (IV)) | The Undead | Lv10 | sz=M | OB:80We[Cold]/70LBa/Special/Spells
Wraith (Greater (V)) | Wraith (supérieur (V)) | The Undead | Lv15 | sz=M | OB:100We[Cold]/90LBa/Special/Spells
Wild Hunt Hound (I) | Chien de la Chasse sauvage (I) | The Undead | Lv1 | sz=M | OB:Special(touch:1Conpt/rnd)
Zombie (I) | Zombie (I) | The Undead | Lv2 | sz=M | OB:30MBa100/Special
Griffin/Gryphon | Griffon | Flying Monsters | Lv8 | sz=L | OB:90LCl/60LBa/100MPi !/Both100
Harpy** | Harpy** | Flying Monsters | Lv4 | sz=M | OB:30MCl(2x)/50We
Homunculous | Homoncule | Flying Monsters | Lv2 | sz=S | OB:30SCl/50SSt/Poison !
Werebear | Ours-garou | Shapechangers | Lv8 | sz=L | OB:/80MBi 110MBa/90LGr/75LCl ! ✓
Wereboar | Sanglier-garou | Shapechangers | Lv6 | sz=M | OB:/60STs 70MHo/70MBa ! !
Werejackal | Chacal-garou | Shapechangers | Lv5 | sz=M | OB:60MBi
Wererat | Rat-garou | Shapechangers | Lv3 | sz=M | OB:Both-40MBi/30SCl(2x)
Weretiger | Tigre-garou | Shapechangers | Lv10 | sz=L | OB:95LCl/110MBa/130LBi
Werewolf | Loup-garou | Shapechangers | Lv7 | sz=M | OB:Both-70MBi/60SCl
Changeling | Changelin | Shapechangers | Lv3 | sz=M | OB:60We/40We
Brontosaur | Brontosaure | Prehistoric Animals | Lv4 | sz=H | OB:60HBa30/60LBa20/Both50
Tyrannosaur | Tyrannosaure | Prehistoric Animals | Lv8 | sz=H | OB:200HBi100
Pterosaurs (fly) (Small) | Ptérosaure (vol) (petit) | Prehistoric Animals | Lv3 | sz=M | OB:50MPi80/40MCl20
Elothere (G.Boar) | Élothère (grand sanglier) | Prehistoric Animals | Lv5 | sz=L | OB:/60MTs 80LHo100/70LBa !
Megalodon (G.Shark) | Mégalodon (G.Shark) | Prehistoric Animals | Lv8 | sz=H | OB:[]
